Scopus-1999-Analyze-Subject



Number of results : 1999

SUBJECT AREA,
Earth and Planetary Sciences,1186
Agricultural and Biological Sciences,425
Environmental Science,358
Social Sciences,306
Arts and Humanities,225
Medicine,98
Biochemistry Genetics and Molecular Biology,93
Immunology and Microbiology,72
Engineering,66
Multidisciplinary,48
Chemistry,44
Physics and Astronomy,29
Energy,22
Business Management and Accounting,15
Materials Science,12
Veterinary,11
Chemical Engineering,9
Economics Econometrics and Finance,7
Mathematics,6
Computer Science,4
Health Professions,4
Nursing,4
Pharmacology Toxicology and Pharmaceutics,4
Psychology,4
Neuroscience,3
Decision Sciences,2
Undefined,2
