Scopus-5305-Analyze-Country



Number of results : 5305

COUNTRY/TERRITORY,
Chile,1721
United States,1673
Argentina,1087
Germany,650
France,495
United Kingdom,459
Peru,456
Spain,441
Bolivia,321
Canada,243
Brazil,212
Switzerland,178
Australia,131
Italy,130
Netherlands,87
Mexico,83
Sweden,70
Belgium,66
Japan,62
New Zealand,62
China,58
Austria,53
Colombia,51
Denmark,46
Norway,35
Ecuador,31
South Africa,30
Czech Republic,26
Russian Federation,26
Poland,23
Portugal,20
Cuba,11
India,11
Taiwan,11
Uruguay,11
Ireland,9
Venezuela,9
Finland,8
Panama,8
Romania,8
Iran,7
Israel,7
South Korea,7
Hungary,6
Puerto Rico,6
Turkey,6
Costa Rica,5
Egypt,5
Luxembourg,5
Hong Kong,4
Thailand,4
Viet Nam,4
Saudi Arabia,3
Singapore,3
Slovenia,3
Trinidad and Tobago,3
Tunisia,3
Ukraine,3
Algeria,2
Belize,2
Bulgaria,2
Cameroon,2
Dominica,2
Greece,2
Kenya,2
Lithuania,2
Macao,2
Morocco,2
Nepal,2
Pakistan,2
Qatar,2
Armenia,1
Burkina Faso,1
Estonia,1
Ethiopia,1
Gibraltar,1
Guatemala,1
Iceland,1
Jordan,1
Kazakhstan,1
Lebanon,1
Malaysia,1
Mali,1
Namibia,1
Nicaragua,1
Nigeria,1
North Macedonia,1
Oman,1
Senegal,1
Serbia,1
Slovakia,1
United Arab Emirates,1
Vanuatu,1
Zimbabwe,1
Undefined,185
