Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Böhm, C., Reyers, M., Knarr, L., Crewell, S.","57205095218;16444579500;57221497256;6603868770;","The Role of Moisture Conveyor Belts for Precipitation in the Atacama Desert",2021,"Geophysical Research Letters","48","24","e2021GL094372","","",,,"10.1029/2021GL094372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121725379&doi=10.1029%2f2021GL094372&partnerID=40&md5=d50f4e3c2694c1bbb7f650c588605a82",Letter,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85121725379
"Donoso, F., Moreno, M., Ortega-Culaciati, F., Bedford, J.R., Benavente, R.","36697867600;35220166700;55803951900;36500677600;55797737000;","Automatic Detection of Slow Slip Events Using the PICCA: Application to Chilean GNSS Data",2021,"Frontiers in Earth Science","9",,"788054","","",,,"10.3389/feart.2021.788054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122443773&doi=10.3389%2ffeart.2021.788054&partnerID=40&md5=bbf508a84d05f772d6014d39f822a7c0",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85122443773
"Norambuena, H.V., Rivera, R., Barros, R., Silva, R., Peredo, R., Hernández, C.E.","55243689600;36560218400;56107420500;57202862151;56880132800;7202905337;","Living on the edge: Genetic structure and geographic distribution in the threatened Markham's Storm-Petrel (Hydrobates markhami)",2021,"PeerJ","9",,"e12669","","",,,"10.7717/peerj.12669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121859159&doi=10.7717%2fpeerj.12669&partnerID=40&md5=039cd92aa51ba36ec2658546575e96a3",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85121859159
"Contreras-Calvario, A.I., Reyes, A.M., Vela, R.A., Castillo Juárez, J.L., Basanta, M.D.","57202212661;57220176803;57220177118;57433843900;57193461185;","Variation of amphibian and reptile composition in forest fragments of Veracruz highlands, Mexico [Variação na composição de anfíbios e répteis em fragmentos de floresta das terras altas de Veracruz, México.]",2021,"Phyllomedusa","20","2",,"139","150",,,"10.11606/issn.2316-9079.v20i2p139-150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123791654&doi=10.11606%2fissn.2316-9079.v20i2p139-150&partnerID=40&md5=43664f71badc9c792ae9f8ef54ba3ed7",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85123791654
"Montt, I., Fiore, D., Santoro, C.M., Arriaza, B.","56663277600;14321450500;7004920399;6602846124;","Relational bodies: Affordances, substances and embodiment in Chinchorro funerary practices c. 7000-3250 BP",2021,"Antiquity","95","384",,"1405","1425",,2,"10.15184/aqy.2021.126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114339518&doi=10.15184%2faqy.2021.126&partnerID=40&md5=bad88d2dc7dc960e74bae7b82b2e069c",Article,"Final","",Scopus,2-s2.0-85114339518
"Arzamendia, Y., Rojo, V., González, N.M., Baldo, J.L., Zamar, M.I., Lamas, H.E., Vilá, B.L.","14719172900;57196403889;56194017800;56160073900;36241022200;57492065100;7004905090;","The Puna Pastoralist System: A Coproduced Landscape in the Central Andes",2021,"Mountain Research and Development","41","4",,"R38","R49",,,"10.1659/MRD-JOURNAL-D-21-00023.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122378023&doi=10.1659%2fMRD-JOURNAL-D-21-00023.1&partnerID=40&md5=7d246c1e6d4d7c809ffeae2a92e76ba6",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85122378023
"Aron, P.G., Poulsen, C.J., Fiorella, R.P., Levin, N.E., Acosta, R.P., Yanites, B.J., Cassel, E.J.","57211454322;7005902717;55934848500;7103118120;54979895900;15830536200;6602574411;","Variability and Controls on δ18O, d-excess, and ∆′17O in Southern Peruvian Precipitation",2021,"Journal of Geophysical Research: Atmospheres","126","23","e2020JD034009","","",,,"10.1029/2020JD034009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121047882&doi=10.1029%2f2020JD034009&partnerID=40&md5=48baa60190a3fa0662a550e12ff744f6",Article,"Final","",Scopus,2-s2.0-85121047882
"Ejeian, M., Grant, A., Shon, H.K., Razmjou, A.","57210142069;57226425957;6701629946;56994139600;","Is lithium brine water?",2021,"Desalination","518",,"115169","","",,2,"10.1016/j.desal.2021.115169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111552595&doi=10.1016%2fj.desal.2021.115169&partnerID=40&md5=8984d24c4e58f521a90c192f369a40cc",Article,"Final","",Scopus,2-s2.0-85111552595
"Uceda, S., Gayoso, H., Castillo, F., Rengifo, C.","56081823300;57044858400;57189350851;57044747000;","Climate and Social Changes: Reviewing the Equation with Data from the Huacas de Moche Archaeological Complex, Peru",2021,"Latin American Antiquity","32","4",,"705","722",,,"10.1017/laq.2021.35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121724303&doi=10.1017%2flaq.2021.35&partnerID=40&md5=fe619f6e786c84b013159e9c3b56acb9",Article,"Final","",Scopus,2-s2.0-85121724303
"Miller, M.J., Kendall, I., Capriles, J.M., Bruno, M.C., Evershed, R.P., Hastorf, C.A.","56283328100;57204795132;24066193900;26033919500;7005538923;6602921721;","Quinoa, potatoes, and llamas fueled emergent social complexity in the Lake Titicaca basin of the Andes",2021,"Proceedings of the National Academy of Sciences of the United States of America","118","49","e2113395118","","",,2,"10.1073/pnas.2113395118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120784656&doi=10.1073%2fpnas.2113395118&partnerID=40&md5=5a99d7130bc184268e75a6376bfd6722",Article,"Final","",Scopus,2-s2.0-85120784656
