"Petrinovic, I.A., Martí, J., Aguirre-Díaz, G.J., Guzmán, S., Geyer, A., Paz, N.S.","6506255880;7202923564;6602627475;14919111600;14423925500;36165752500;","The Cerro Aguas Calientes caldera, NW Argentina: An example of a tectonically controlled, polygenetic collapse caldera, and its regional significance",2010,"Journal of Volcanology and Geothermal Research","194","1-3",,"15","26",,58,"10.1016/j.jvolgeores.2010.04.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953696188&doi=10.1016%2fj.jvolgeores.2010.04.012&partnerID=40&md5=ec1803c796ef41dec2912323b55de66b",Article,"Final","",Scopus,2-s2.0-77953696188
"Borthagaray, A.I., Fuentes, M.A., Marquet, P.A.","8982534400;7103214198;7102630622;","Vegetation pattern formation in a fog-dependent ecosystem",2010,"Journal of Theoretical Biology","265","1",,"18","26",,56,"10.1016/j.jtbi.2010.04.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953615311&doi=10.1016%2fj.jtbi.2010.04.020&partnerID=40&md5=f22b1958d0bec69f20510148bde88bfd",Article,"Final","",Scopus,2-s2.0-77953615311
"Urrutia, R., Araneda, A., Torres, L., Cruces, F., Vivero, C., Torrejón, F., Barra, R., Fagel, N., Scharf, B.","56273296500;55949206400;12241049200;8406033700;36086866500;23010395600;7003677477;6603961980;7005695557;","Late Holocene environmental changes inferred from diatom, chironomid, and pollen assemblages in an Andean lake in Central Chile, Lake Laja (36°S)",2010,"Hydrobiologia","648","1",,"207","225",,15,"10.1007/s10750-010-0264-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952010826&doi=10.1007%2fs10750-010-0264-1&partnerID=40&md5=b06bac91f2039f33e1d3d5b0f5216f4d",Article,"Final","",Scopus,2-s2.0-77952010826
"Azúa-Bustos, A., González-Silva, C., Salas, L., Palma, R.E., Vicuña, R.","26038934900;35098616700;7006018293;7006981193;7005907711;","A novel subaerial Dunaliella species growing on cave spiderwebs in the Atacama Desert",2010,"Extremophiles","14","5",,"443","452",,30,"10.1007/s00792-010-0322-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956416578&doi=10.1007%2fs00792-010-0322-7&partnerID=40&md5=dddff82fd507b8ed0e360e6bc338a061",Article,"Final","",Scopus,2-s2.0-77956416578
"Vítek, P., Edwards, H.G.M., Jehlička, J., Ascaso, C., De Los Ríos, A., Valea, S., Jorge-Villar, S.E., Davila, A.F., Wierzchos, J.","36351336400;7202660467;6603798548;7005936696;7004184904;36351363600;6602409926;7006340868;7003681791;","Microbial colonization of halite from the hyper-arid atacama desert studied by Raman spectroscopy",2010,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","368","1922",,"3205","3221",,72,"10.1098/rsta.2010.0059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955199005&doi=10.1098%2frsta.2010.0059&partnerID=40&md5=403f4ef24106cad44f49b7aa2a1234ce",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-77955199005
"Schlunegger, F., Kober, F., Zeilinger, G., von Rotz, R.","6603813465;8591213500;6701652365;14020799700;","Sedimentology-based reconstructions of paleoclimate changes in the Central Andes in response to the uplift of the Andes, Arica region between 19 and 21°S latitude, northern Chile",2010,"International Journal of Earth Sciences","99","SUPPL. 1",,"123","137",,28,"10.1007/s00531-010-0572-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956278097&doi=10.1007%2fs00531-010-0572-8&partnerID=40&md5=3da3e2bd830cd9ee792dc25faccbbb15",Article,"Final","All Open Access, Green",Scopus,2-s2.0-77956278097
"Wagner, S.","57199818926;","'Unconventional' drilling could free trapped Chilean miners",2010,"Engineer","AUGUST",,,"","",3,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651292776&partnerID=40&md5=1142c306d7873f1ed6b205be0888193b",Article,"Final","",Scopus,2-s2.0-78651292776
"Regard, V., Saillard, M., Martinod, J., Audin, L., Carretier, S., Pedoja, K., Riquelme, R., Paredes, P., Hérail, G.","36094627300;15748016800;55897139800;7005114252;6603118126;15078506700;56228802300;49061336300;7004202642;","Renewed uplift of the Central Andes Forearc revealed by coastal evolution during the Quaternary",2010,"Earth and Planetary Science Letters","297","1-2",,"199","210",,64,"10.1016/j.epsl.2010.06.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956009550&doi=10.1016%2fj.epsl.2010.06.020&partnerID=40&md5=6042cc3ad9d331cc11701e54144d6cd1",Article,"Final","All Open Access, Green",Scopus,2-s2.0-77956009550
"Messager, G., Nivière, B., Martinod, J., Lacan, P., Xavier, J.-P.","36198519100;55948935900;55897139800;22734285600;7007007278;","Geomorphic evidence for Plio-Quaternary compression in the Andean foothills of the southern Neuqun Basin, Argentina",2010,"Tectonics","29","4","TC4003","","",,45,"10.1029/2009TC002609","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955209854&doi=10.1029%2f2009TC002609&partnerID=40&md5=8877ffcd6a7cd5dcc36d972724a1a87f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-77955209854
"Welkner, D., Eberhardt, E., Hermanns, R.L.","10040191200;24536835600;6603434500;","Hazard investigation of the Portillo Rock Avalanche site, central Andes, Chile, using an integrated field mapping and numerical modelling approach",2010,"Engineering Geology","114","3-4",,"278","297",,39,"10.1016/j.enggeo.2010.05.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955171722&doi=10.1016%2fj.enggeo.2010.05.007&partnerID=40&md5=e3ae5b5e041208fba8389e6f48d94c06",Article,"Final","",Scopus,2-s2.0-77955171722
