Publication Titles	Record Count	% of 1,958
EARTH AND PLANETARY SCIENCE LETTERS	76	3.882
JOURNAL OF SOUTH AMERICAN EARTH SCIENCES	62	3.166
TECTONICS	53	2.707
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH	49	2.503
GEOLOGY	42	2.145
TECTONOPHYSICS	37	1.890
GEOLOGICAL SOCIETY OF AMERICA BULLETIN	31	1.583
JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH	27	1.379
GEOPHYSICAL RESEARCH LETTERS	26	1.328
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY	25	1.277
QUATERNARY SCIENCE REVIEWS	25	1.277
GEOMORPHOLOGY	23	1.175
LATIN AMERICAN ANTIQUITY	23	1.175
GEOPHYSICAL JOURNAL INTERNATIONAL	22	1.124
QUATERNARY RESEARCH	21	1.073
ECONOMIC GEOLOGY	20	1.021
GLOBAL AND PLANETARY CHANGE	20	1.021
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS	17	0.868
GEOCHIMICA ET COSMOCHIMICA ACTA	17	0.868
JOURNAL OF THE GEOLOGICAL SOCIETY	17	0.868
CHEMICAL GEOLOGY	16	0.817
MINERALIUM DEPOSITA	16	0.817
GEOSPHERE	15	0.766
JOURNAL OF GEOPHYSICAL RESEARCH ATMOSPHERES	14	0.715
ECONOMIC GEOLOGY AND THE BULLETIN OF THE SOCIETY OF ECONOMIC GEOLOGISTS	13	0.664
JOURNAL OF ARCHAEOLOGICAL SCIENCE	13	0.664
JOURNAL OF GEOPHYSICAL RESEARCH EARTH SURFACE	13	0.664
SCIENTIFIC REPORTS	13	0.664
JOURNAL OF QUATERNARY SCIENCE	12	0.613
LITHOS	12	0.613
SCIENCE	12	0.613
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	11	0.562
JOURNAL OF GEOLOGY	11	0.562
QUATERNARY INTERNATIONAL	11	0.562
ZOOTAXA	11	0.562
BULLETIN OF VOLCANOLOGY	10	0.511
ENVIRONMENTAL SCIENCE TECHNOLOGY	10	0.511
HOLOCENE	10	0.511
JOURNAL OF PETROLOGY	10	0.511
JOURNAL OF STRUCTURAL GEOLOGY	10	0.511
ORE GEOLOGY REVIEWS	10	0.511
REVISTA GEOLOGICA DE CHILE	10	0.511
SEDIMENTARY GEOLOGY	10	0.511
BASIN RESEARCH	9	0.460
EARTH SURFACE PROCESSES AND LANDFORMS	9	0.460
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY	9	0.460
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	9	0.460
PHYTOTAXA	9	0.460
CATENA	8	0.409
CONTRIBUTIONS TO MINERALOGY AND PETROLOGY	8	0.409
ICARUS	8	0.409
INTERNATIONAL JOURNAL OF EARTH SCIENCES	8	0.409
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY	8	0.409
JOURNAL OF BIOGEOGRAPHY	8	0.409
MINERALOGICAL MAGAZINE	8	0.409
JOURNAL OF ARID ENVIRONMENTS	7	0.358
JOURNAL OF FIELD ARCHAEOLOGY	7	0.358
JOURNAL OF SEDIMENTARY RESEARCH	7	0.358
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	7	0.358
REMOTE SENSING	7	0.358
REMOTE SENSING OF ENVIRONMENT	7	0.358
SEDIMENTOLOGY	7	0.358
TERRA NOVA	7	0.358
ACTA TROPICA	6	0.306
AMERICAN MINERALOGIST	6	0.306
CANADIAN MINERALOGIST	6	0.306
CLIMATE DYNAMICS	6	0.306
EARTH SCIENCE REVIEWS	6	0.306
GEOCHEMISTRY EXPLORATION ENVIRONMENT ANALYSIS	6	0.306
GEOLOGICAL MAGAZINE	6	0.306
JOURNAL OF GEOPHYSICAL RESEARCH PLANETS	6	0.306
JOURNAL OF HYDROLOGY	6	0.306
JOURNAL OF PALEOLIMNOLOGY	6	0.306
JOURNAL OF PARASITOLOGY	6	0.306
LITHOSPHERE	6	0.306
NATURE	6	0.306
