Publication Titles	Record Count	% of 65
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	8	12.308
FRONTIERS IN MICROBIOLOGY	6	9.231
METEORITICS PLANETARY SCIENCE	4	6.154
SCIENTIFIC REPORTS	4	6.154
ASTROBIOLOGY	3	4.615
EARTH AND PLANETARY SCIENCE LETTERS	2	3.077
GEOCHEMISTRY EXPLORATION ENVIRONMENT ANALYSIS	2	3.077
GEOCHIMICA ET COSMOCHIMICA ACTA	2	3.077
GEOLOGY	2	3.077
JOURNAL OF GEOPHYSICAL RESEARCH PLANETS	2	3.077
MICROBIAL ECOLOGY	2	3.077
ADVANCES IN SPACE RESEARCH	1	1.538
AEOLIAN RESEARCH	1	1.538
AMERICAN FERN JOURNAL	1	1.538
ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	1	1.538
BIOGEOCHEMISTRY	1	1.538
BIOMED RESEARCH INTERNATIONAL	1	1.538
CHUNGARA REVISTA DE ANTROPOLOGIA CHILENA	1	1.538
EARTH SURFACE PROCESSES AND LANDFORMS	1	1.538
ENVIRONMENTAL MICROBIOLOGY	1	1.538
ENVIRONMENTAL MICROBIOLOGY REPORTS	1	1.538
FEBS LETTERS	1	1.538
FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY	1	1.538
GEOLOGICAL SOCIETY OF AMERICA BULLETIN	1	1.538
GEOPHYSICAL RESEARCH LETTERS	1	1.538
HYPERFINE INTERACTIONS	1	1.538
ICARUS	1	1.538
INTERNATIONAL JOURNAL OF ASTROBIOLOGY	1	1.538
INTERNATIONAL JOURNAL OF CLIMATOLOGY	1	1.538
JOURNAL OF ARID ENVIRONMENTS	1	1.538
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A TOXIC HAZARDOUS SUBSTANCES ENVIRONMENTAL ENGINEERING	1	1.538
JOURNAL OF FIELD ROBOTICS	1	1.538
METEORITICS	1	1.538
PALAIOS	1	1.538
PHYSICS OF THE EARTH AND PLANETARY INTERIORS	1	1.538
PLANETARY AND SPACE SCIENCE	1	1.538
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	1	1.538
QUATERNARY SCIENCE REVIEWS	1	1.538
SCIENCE	1	1.538
