Affiliations	Record Count	% of 161
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	48	29.814
NASA AMES RESEARCH CENTER	33	20.497
UNIVERSITY OF CALIFORNIA SYSTEM	28	17.391
UNIVERSIDAD CATOLICA DEL NORTE	20	12.422
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	19	11.801
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES LERU	18	11.180
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	17	10.559
CSIC CENTRO DE ASTROBIOLOGIA INTA	16	9.938
UDICE FRENCH RESEARCH UNIVERSITIES	15	9.317
UNIVERSITY OF ARIZONA	13	8.075
UNIVERSITY OF CALIFORNIA BERKELEY	13	8.075
SETI INST	12	7.453
NASA JET PROPULSION LABORATORY JPL	11	6.832
AIX MARSEILLE UNIVERSITE	10	6.211
UNIVERSIDAD DE CHILE	10	6.211
HELMHOLTZ ASSOCIATION	9	5.590
OPEN UNIVERSITY UK	9	5.590
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE	9	5.590
CALIFORNIA INSTITUTE OF TECHNOLOGY	8	4.969
CARNEGIE MELLON UNIVERSITY	8	4.969
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD	8	4.969
JOHNS HOPKINS UNIVERSITY	8	4.969
SMITHSONIAN INSTITUTION	8	4.969
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO	8	4.969
UNIVERSITY OF IOWA	8	4.969
PSL RESEARCH UNIVERSITY PARIS	7	4.348
UNITED STATES DEPARTMENT OF THE INTERIOR	7	4.348
UNITED STATES GEOLOGICAL SURVEY	7	4.348
UNIVERSIDAD DE ANTOFAGASTA	7	4.348
COLLEGE DE FRANCE	6	3.727
UNIVERSITY OF CALIFORNIA LOS ANGELES	6	3.727
UNIVERSITY OF CALIFORNIA SAN DIEGO	6	3.727
JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	5	3.106
LEIDEN UNIVERSITY	5	3.106
MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN	5	3.106
OREGON STATE UNIVERSITY	5	3.106
UNIVERSIDAD AUTONOMA DE CHILE	5	3.106
UNIVERSITE DE PARIS	5	3.106
UNIVERSITE LIBRE DE BRUXELLES	5	3.106
UNIVERSITY OF CALGARY	5	3.106
UNIVERSITY OF TENNESSEE KNOXVILLE	5	3.106
UNIVERSITY OF TENNESSEE SYSTEM	5	3.106
HELMHOLTZ CENTER POTSDAM GFZ GERMAN RESEARCH CENTER FOR GEOSCIENCES	4	2.484
IMPERIAL COLLEGE LONDON	4	2.484
INRAE	4	2.484
LEIDEN UNIVERSITY EXCL LUMC	4	2.484
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT	4	2.484
NASA JOHNSON SPACE CENTER	4	2.484
PLANETARY SCI INST	4	2.484
PURDUE UNIVERSITY	4	2.484
PURDUE UNIVERSITY SYSTEM	4	2.484
PURDUE UNIVERSITY WEST LAFAYETTE CAMPUS	4	2.484
TECHNICAL UNIVERSITY OF BERLIN	4	2.484
UNIVERSIDAD DE TARAPACA	4	2.484
UNIVERSITY OF ST ANDREWS	4	2.484
CALIFORNIA STATE UNIVERSITY SYSTEM	3	1.863
CENTRO BRASILEIRO DE PESQUISAS FISICAS	3	1.863
CNRS NATIONAL INSTITUTE FOR EARTH SCIENCES ASTRONOMY INSU	3	1.863
CORNELL UNIVERSITY	3	1.863
CSIC MUSEO NACIONAL DE CIENCIAS NATURALES MNCN	3	1.863
ECOLE NORMALE SUPERIEURE DE LYON ENS DE LYON	3	1.863
FREE UNIVERSITY OF BERLIN	3	1.863
HUNGARIAN ACADEMY OF SCIENCES	3	1.863
HUNGARIAN RESEARCH CENTRE FOR ASTRONOMY EARTH SCIENCES	3	1.863
INT RES SCH PLANETARY SCI	3	1.863
LEIBNIZ INSTITUT FUR GEWASSEROKOLOGIE UND BINNENFISCHEREI IGB	3	1.863
LULEA UNIVERSITY OF TECHNOLOGY	3	1.863
MIAMI UNIVERSITY	3	1.863
NASA GODDARD SPACE FLIGHT CENTER	3	1.863
NATURAL HISTORY MUSEUM LONDON	3	1.863
RESEARCH CENTER JULICH	3	1.863
SORBONNE UNIVERSITE	3	1.863
UK RESEARCH INNOVATION UKRI	3	1.863
UNIVERSIDAD ARTURO PRAT	3	1.863
UNIVERSITY OF BOLOGNA	3	1.863
UNIVERSITY OF CALIFORNIA RIVERSIDE	3	1.863
UNIVERSITY OF PISA	3	1.863
BIGELOW LABORATORY FOR OCEAN SCIENCES	2	1.242
BLUE MARBLE SPACE INST SCI	2	1.242
BRIGHAM YOUNG UNIVERSITY	2	1.242
CHINA UNIVERSITY OF GEOSCIENCES	2	1.242
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET	2	1.242
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	2	1.242
CSIC INSTITUTO ANDALUZ DE CIENCIAS DE LA TIERRA IACT	2	1.242
CTR DESARROLLO URBANO SUSTENTABLE CEDEUS	2	1.242
DESERT RESEARCH INSTITUTE NSHE	2	1.242
EBERHARD KARLS UNIVERSITY OF TUBINGEN	2	1.242
EOTVOS LORAND UNIVERSITY	2	1.242
ETH ZURICH	2	1.242
EUROPEAN ASTROBIOL INST	2	1.242
EUROPEAN SPACE AGENCY	2	1.242
GERMAN AEROSPACE CENTRE DLR	2	1.242
GOLDCORP INC	2	1.242
HELMHOLTZ CENTER MUNICH GERMAN RESEARCH CENTER FOR ENVIRONMENTAL HEALTH	2	1.242
MCGILL UNIVERSITY	2	1.242
MUSEO METEORITO	2	1.242
NATIONAL UNIVERSITY OF CORDOBA	2	1.242
NATURAL ENVIRONMENT RESEARCH COUNCIL NERC	2	1.242
NERC BRITISH GEOLOGICAL SURVEY	2	1.242
NEVADA SYSTEM OF HIGHER EDUCATION NSHE	2	1.242
NEWCASTLE UNIVERSITY UK	2	1.242
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO	2	1.242
ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES	2	1.242
SAN JOSE STATE UNIVERSITY	2	1.242
TECHNICAL UNIVERSITY OF MUNICH	2	1.242
TEXAS TECH UNIVERSITY	2	1.242
TEXAS TECH UNIVERSITY SYSTEM	2	1.242
TUFTS UNIVERSITY	2	1.242
UNIV NACL SALTA	2	1.242
UNIVERSIDAD DE EXTREMADURA	2	1.242
UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA	2	1.242
UNIVERSIDADE DE SAO PAULO	2	1.242
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	2	1.242
UNIVERSITE CLAUDE BERNARD LYON 1	2	1.242
UNIVERSITE COTE D AZUR	2	1.242
UNIVERSITE DE LORRAINE	2	1.242
UNIVERSITE GUSTAVE EIFFEL	2	1.242
UNIVERSITE PARIS EST CRETEIL VAL DE MARNE UPEC	2	1.242
UNIVERSITY OF BERN	2	1.242
UNIVERSITY OF BONN	2	1.242
UNIVERSITY OF BRISTOL	2	1.242
UNIVERSITY OF BRITISH COLUMBIA	2	1.242
UNIVERSITY OF CALIFORNIA DAVIS	2	1.242
UNIVERSITY OF DELAWARE	2	1.242
UNIVERSITY OF EDINBURGH	2	1.242
UNIVERSITY OF GRANADA	2	1.242
UNIVERSITY OF HAWAII SYSTEM	2	1.242
UNIVERSITY OF HONG KONG	2	1.242
UNIVERSITY OF INNSBRUCK	2	1.242
UNIVERSITY OF KENT	2	1.242
UNIVERSITY OF OXFORD	2	1.242
UNIVERSITY OF POTSDAM	2	1.242
UNIVERSITY OF SHEFFIELD	2	1.242
UNIVERSITY OF TEHRAN	2	1.242
UNIVERSITY OF TEXAS SYSTEM	2	1.242
UNIVERSITY OF UTAH	2	1.242
UNIVERSITY OF VIRGINIA	2	1.242
UNIVERSITY OF WATERLOO	2	1.242
UTAH SYSTEM OF HIGHER EDUCATION	2	1.242
UTRECHT UNIVERSITY	2	1.242
VALE EXPLORAC CHILE	2	1.242
VICTORIA UNIVERSITY WELLINGTON	2	1.242
VRIJE UNIVERSITEIT AMSTERDAM	2	1.242
VRIJE UNIVERSITEIT BRUSSEL	2	1.242
WESTERN UNIVERSITY UNIVERSITY OF WESTERN ONTARIO	2	1.242
ABERYSTWYTH UNIVERSITY	1	0.621
AFSHIN METEORITE HUNTING GRP	1	0.621
AGH UNIVERSITY OF SCIENCE TECHNOLOGY	1	0.621
APTIM	1	0.621
ARIZONA STATE UNIVERSITY	1	0.621
ARIZONA STATE UNIVERSITY TEMPE	1	0.621
ATACAMA BIOTECH	1	0.621
AUSTRALIAN NATIONAL UNIVERSITY	1	0.621
AUTONOMOUS UNIVERSITY OF MADRID	1	0.621
AVIGNON UNIVERSITE	1	0.621
BAE SYSTEMS	1	0.621
BANGOR UNIVERSITY	1	0.621
BEN GURION UNIVERSITY	1	0.621
BERKELEY GEOCHRONOLGY CENTER	1	0.621
BRAMBLES LIMITED	1	0.621
BROCK UNIVERSITY	1	0.621
BUDAPEST INST TECHNOL ECON	1	0.621
BUDAPEST UNIVERSITY OF TECHNOLOGY ECONOMICS	1	0.621
CALIFORNIA STATE UNIVERSITY SAN BERNARDINO	1	0.621
CAMPOALTO OPERAC SPA	1	0.621
CANADIAN SPACE AGENCY	1	0.621
CARL SAGAN CTR	1	0.621
CB I FED SERV	1	0.621
CENTRAL CONNECTICUT STATE UNIVERSITY	1	0.621
CENTRO NACIONAL DE INVESTIGACIONES CARDIOVASCULARES CNIC	1	0.621
CHARLES UNIVERSITY PRAGUE	1	0.621
CHINESE ACADEMY OF GEOLOGICAL SCIENCES	1	0.621
CLIN MUTUAL SEGURIDAD	1	0.621
CNIB	1	0.621
CNRS INSTITUTE FOR ENGINEERING SYSTEMS SCIENCES INSIS	1	0.621
CNRS INSTITUTE OF CHEMISTRY INC	1	0.621
CNRS INSTITUTE OF PHYSICS INP	1	0.621
COMMUNAUTE UNIVERSITE GRENOBLE ALPES	1	0.621
COMPLUTENSE UNIVERSITY OF MADRID	1	0.621
CONNECTICUT STATE UNIVERSITY SYSTEM	1	0.621
COPENHAGEN UNIV OBSERV	1	0.621
CSIC CENTRO DE BIOLOGIA MOLECULAR SEVERO OCHOA CBM	1	0.621
CSIC CENTRO DE CIENCIAS MEDIOAMBIENTALES CCMA	1	0.621
CSIC CENTRO NACIONAL DE BIOTECNOLOGIA CNB	1	0.621
CSIC INSTITUTO DE CIENCIAS AGRARIAS ICA	1	0.621
CSIC INSTITUTO DE RECURSOS NATURALES IRN	1	0.621
CTR BRASILEIRO PESQUISAS FIS CBPF	1	0.621
CTR CIENCIA CLIMA RESILIENCIA CR 2	1	0.621
